,sex,income
0,female,
1,male,
2,male,107.0
3,male,192.0
4,female,
5,female,
6,male,
7,female,27.0
8,female,27.0
9,female,
10,female,
11,male,
12,female,
13,male,
14,male,338.0
15,female,200.0
16,female,
17,female,
18,male,
19,female,110.0
20,male,
21,female,
22,male,
23,male,
24,female,
25,female,113.0
26,male,315.0
27,female,200.0
28,female,148.0
29,female,158.0
30,male,238.0
31,male,156.0
32,female,
33,female,
34,male,
35,male,
36,male,
37,female,
38,male,
39,male,
40,female,583.0
41,female,
42,female,
43,male,239.0
44,female,250.0
45,female,
46,male,258.0
47,female,
48,male,
49,male,
50,female,
51,male,219.0
52,female,
53,female,
54,male,260.0
55,male,
56,female,
57,female,
58,female,238.0
59,female,
60,male,278.0
61,female,
62,female,
63,male,228.0
64,female,80.0
65,female,
66,female,190.0
67,male,115.0
68,female,
69,male,240.0
70,male,1017.0
71,female,
72,male,
73,male,
74,male,750.0
75,female,
76,male,
77,female,
78,male,
79,female,140.0
80,male,
81,female,
82,female,100.0
83,female,150.0
84,female,
85,female,205.0
86,female,200.0
87,female,
88,female,212.0
89,female,272.0
90,female,
91,female,
92,male,528.0
93,male,188.0
94,female,
95,male,674.0
96,male,
97,female,
98,male,466.0
99,female,230.0
100,male,
101,female,
102,male,
103,female,
104,female,
105,female,
106,male,310.0
107,female,
108,male,179.0
109,male,220.0
110,female,
111,male,264.0
112,male,220.0
113,female,90.0
114,female,
115,male,277.0
116,female,
117,male,
118,female,
119,male,192.0
120,female,
121,female,
122,female,
123,male,102.0
124,female,40.0
125,female,
126,male,
127,female,
128,male,
129,female,
130,male,273.0
131,female,
132,male,198.0
133,male,234.0
134,female,147.0
135,male,
136,female,150.0
137,female,318.0
138,male,210.0
139,male,
140,female,
141,female,257.0
142,male,180.0
143,female,
144,female,208.0
145,male,
146,female,
147,female,
148,male,
149,male,
150,female,
151,female,
152,male,
153,female,
154,male,458.0
155,female,
156,female,
157,male,
158,male,
159,female,
160,male,200.0
161,male,50.0
162,female,
163,male,542.0
164,female,
165,female,185.0
166,female,61.0
167,male,250.0
168,male,410.0
169,female,83.0
170,female,40.0
171,female,120.0
172,female,
173,female,
174,male,358.0
175,male,266.0
176,female,
177,male,260.0
178,female,
179,male,
180,male,392.0
181,female,160.0
182,male,
183,male,344.0
184,female,160.0
185,female,
186,male,
187,male,214.0
188,female,173.0
189,male,178.0
190,female,95.0
191,male,180.0
192,male,317.0
193,female,
194,male,192.0
195,female,94.0
196,female,
197,male,
198,female,80.0
199,male,162.0
200,female,243.0
201,male,
202,female,
203,male,236.0
204,male,301.0
205,female,193.0
206,female,
207,male,
208,female,
209,female,283.0
210,male,200.0
211,male,
212,male,
213,female,
214,male,271.0
215,male,
216,female,
217,male,
218,female,
219,female,
220,male,608.0
221,female,
222,male,
223,male,
224,male,750.0
225,female,
226,female,
227,male,
228,female,27.0
229,female,128.0
230,female,683.0
231,male,462.0
232,male,
233,female,
234,male,450.0
235,female,
236,female,
237,male,
238,female,170.0
239,female,
240,male,344.0
241,female,172.0
242,male,500.0
243,male,
244,male,
245,male,
246,female,
247,male,
248,female,235.0
249,female,500.0
250,female,248.0
251,male,
252,male,
253,female,
254,female,
255,male,
256,female,
257,female,204.0
258,male,
259,male,
260,female,
261,male,
262,male,500.0
263,female,208.0
264,female,
265,male,
266,male,
267,female,53.0
268,female,
269,male,
270,female,
271,male,
272,female,100.0
273,male,
274,female,
275,female,
276,male,417.0
277,female,
278,male,
279,male,
280,male,
281,female,
282,male,
283,female,
284,male,196.0
285,male,460.0
286,female,
287,female,
288,female,
289,male,
290,male,300.0
291,female,207.0
292,male,
293,female,
294,female,
295,male,
296,female,
297,male,
298,male,
299,female,120.0
300,male,160.0
301,female,
302,female,
303,male,
304,female,
305,male,506.0
306,female,130.0
307,male,
308,female,
309,female,
310,male,
311,female,
312,female,172.0
313,female,
314,female,
315,female,27.0
316,male,5.0
317,female,
318,male,
319,female,
320,male,
321,female,
322,female,107.0
323,female,115.0
324,male,
325,female,108.0
326,male,592.0
327,female,244.0
328,female,
329,female,111.0
330,male,
331,female,
332,male,
333,female,
334,female,
335,male,375.0
336,male,
337,female,
338,female,
339,female,
340,female,333.0
341,female,200.0
342,female,192.0
343,male,
344,female,
345,male,60.0
346,male,
347,female,
348,male,200.0
349,female,
350,female,310.0
351,male,
352,female,53.0
353,female,
354,female,
355,male,559.0
356,female,658.0
357,female,
358,female,
359,male,
360,male,
361,female,
362,male,
363,male,
364,male,
365,female,
366,male,
367,female,30.0
368,male,333.0
369,female,
370,male,448.0
371,male,
372,male,
373,female,363.0
374,female,
375,male,
376,female,108.0
377,female,213.0
378,female,208.0
379,male,
380,female,
381,male,
382,female,
383,male,280.0
384,female,458.0
385,female,
386,male,
387,male,
388,female,
389,female,170.0
390,female,
391,male,140.0
392,male,20.0
393,female,184.0
394,male,291.0
395,male,
396,male,260.0
397,male,184.0
398,male,275.0
